Soil,exch_ac,pot_ac,exch_bases,Ca+Mg,K+Na,ecec,cec7,pH,OM,ac_sat,LR_pH58,LR_pH60
LVAd1,0.36,8.529839884,0.969839884,0.819514702,0.150325182,1.329839884,9.499679767,4.842370018,6.27955436,0.270709282,4.03,5.28
LVd1,0.44,4.401217414,0.601217414,0.508028715,0.093188699,1.041217414,5.002434829,5.257402456,4.162857681,0.422582252,3.97,4.7
Law,0.56,6.756649464,0.196649464,0.166168797,0.030480667,0.756649464,6.953298928,4.492014621,4.418639153,0.740104932,3.08,3.95
LVAd2,0.866666667,6.571390764,1.011390764,0.854625195,0.156765568,1.87805743,7.582781527,4.546285065,3.024964251,0.461469736,4.32,6.15
LVAa,1.933333333,13.05544528,0.975445283,0.824251264,0.151194019,2.908778616,14.03089057,4.120400391,7.940134201,0.664654685,6.62,8.72
LVAd3,0.533333333,3.660182612,0.620182612,0.524054307,0.096128305,1.153515945,4.280365224,4.902843648,1.37560444,0.462354539,0.84,1.61
LVd2,0.213333333,7.894667196,2.054667196,1.736193781,0.318473415,2.268000529,9.949334392,5.002784432,5.457068248,0.094062294,4.52,5.94
LVAd4,1.973333333,11.22932381,0.069323806,0.058578616,0.01074519,2.042657139,11.29864761,4.198619011,5.745425033,0.966061947,4.54,6.99
LVAd5,0.893333333,9.1914781,0.3514781,0.296998994,0.054479105,1.244811433,9.5429562,4.45982326,6.178006779,0.717645508,3.11,4.21
LVd3,1.64,9.958978431,0.718978431,0.607536774,0.111441657,2.358978431,10.67795686,4.32748784,7.680447263,0.695216191,5.89,7.31
LVd4,1.186666667,9.270874686,1.830874686,1.547089109,0.283785576,3.017541352,11.10174937,4.689378345,6.205205064,0.393256141,2.54,4.5
PVAd1,0.453333333,5.248114331,1.448114331,1.22365661,0.224457721,1.901447664,6.696228662,4.986792399,3.686373455,0.238414836,0.75,1.31
CXbd,1.133333333,5.565700675,0.165700675,0.14001707,0.025683605,1.299034008,5.73140135,4.154897967,2.606628126,0.872443159,3.18,4.14
LVd5,1.306666667,7.444753209,0.244753209,0.206816462,0.037936747,1.551419876,7.689506418,4.237996272,6.328444812,0.84223922,2.45,3.68
LVw,0.746666667,6.015614662,0.095614662,0.080794389,0.014820273,0.842281329,6.111229324,4.325014569,3.875177435,0.886481323,2.91,3.65
PVAd2,0.213333333,6.43906312,1.27906312,1.080808337,0.198254784,1.492396454,7.718126241,5.254684786,4.687931392,0.142946824,2.4,3.42
LVAd6,0.72,3.633717083,1.233717083,1.042490936,0.191226148,1.953717083,4.867434167,5.203273911,2.642180363,0.368528282,3.38,4.14
LAd1,1.066666667,5.009924573,0.329924573,0.278786264,0.051138309,1.39659124,5.339849146,4.30216938,2.793712261,0.763764397,1.87,2.54
LVd6,0.626666667,4.057165542,0.177165542,0.149704883,0.027460659,0.803832209,4.234331084,4.60008401,1.751142892,0.779598852,1.08,1.64
LAd2,1,6.571390764,0.411390764,0.347625195,0.063765568,1.411390764,6.982781527,4.123818872,2.719628541,0.708521003,1.59,2.62
RQo1,0.826666667,3.686648141,1.966648141,1.661817679,0.304830462,2.793314807,5.653296282,4.794369214,2.187262695,0.295944684,1.6,2.39
RQo2,0.466666667,1.675267963,0.035267963,0.029801429,0.005466534,0.50193463,1.710535927,5.017687358,0.377902708,0.929735943,0.57,0.77
