soil,lr,OM,pH,Al,Ca_Mg,clay,clay_l,clay_h
Norfolk,0,2,4.45,0.91,0.2,0.1,0.02,0.18
Rains,0,2.7,4.7,1.04,0.3,0.15,0.02,0.27
Dunbar,0,4,4.5,2.33,0.85,0.17,0.05,0.27
Porsmouth,0,7,4.7,4.18,3.63,0.17,0.05,0.27
Norfolk,0.5,2,4.9,0.598,0.552,0.1,0.02,0.18
Rains,0.5,2.7,5.1,0.695,0.695,0.15,0.02,0.27
Dunbar,0.5,4,4.9,1.5264,1.6536,0.17,0.05,0.27
Porsmouth,0.5,7,5,2.6499,5.3801,0.17,0.05,0.27
Norfolk,1,2,5.4,0.3348,0.9052,0.1,0.02,0.18
Rains,1,2.7,5.4,0.3848,1.0952,0.15,0.02,0.27
Dunbar,1,4,5.3,0.7314,2.4486,0.17,0.05,0.27
Porsmouth,1,7,5.2,1.3216,6.9384,0.17,0.05,0.27
Norfolk,1.5,2,5.6,0.1781,1.1919,0.1,0.02,0.18
Rains,1.5,2.7,5.7,0.167,1.503,0.15,0.02,0.27
Dunbar,1.5,4,5.7,0.192,3.648,0.17,0.05,0.27
Porsmouth,1.5,7,5.6,0.459,8.721,0.17,0.05,0.27
Norfolk,2,2,5.9,0.102,1.564,0.1,0.02,0.18
Rains,2,2.7,6,0.1212,1.8584,0.15,0.02,0.27
Dunbar,2,4,6,0.1386,4.4814,0.17,0.05,0.27
Porsmouth,2,7,5.7,0.208,10.192,0.17,0.05,0.27
