source,soil_id,LR,exch_ac,ECEC,Ac_sat,pH,OM,clay,cec7
Kamprath1970,dunbar,0,2.33,3.18,73.27044025,4.5,4,0.17,NA
Kamprath1970,dunbar,1.165,1.5264,3.18,48,4.9,4,0.17,NA
Kamprath1970,dunbar,2.33,0.7314,3.18,23,5.3,4,0.17,NA
Kamprath1970,dunbar,3.495,0.192,3.84,5,5.7,4,0.17,NA
Kamprath1970,dunbar,4.66,0.1386,4.62,3,6,4,0.17,NA
Kamprath1970,norfol,0,0.91,1.11,81.98198198,4.45,2,0.1,NA
Kamprath1970,norfol,0.455,0.598,1.15,52,4.9,2,0.1,NA
Kamprath1970,norfol,0.91,0.3348,1.24,27,5.4,2,0.1,NA
Kamprath1970,norfol,1.365,0.1781,1.37,13,5.6,2,0.1,NA
Kamprath1970,norfol,1.82,0.102,1.666,6.12244898,5.9,2,0.1,NA
Kamprath1970,porsmo,0,4.18,7.81,53.52112676,4.7,7,0.17,NA
Kamprath1970,porsmo,2.09,2.6499,8.03,33,5,7,0.17,NA
Kamprath1970,porsmo,4.18,1.3216,8.26,16,5.2,7,0.17,NA
Kamprath1970,porsmo,6.27,0.459,9.18,5,5.6,7,0.17,NA
Kamprath1970,porsmo,8.36,0.208,10.4,2,5.7,7,0.17,NA
Kamprath1970,rainsk,0,1.04,1.34,77.6119403,4.7,2.7,0.15,NA
Kamprath1970,rainsk,0.52,0.695,1.39,50,5.1,2.7,0.15,NA
Kamprath1970,rainsk,1.04,0.3848,1.48,26,5.4,2.7,0.15,NA
Kamprath1970,rainsk,1.56,0.167,1.67,10,5.7,2.7,0.15,NA
Kamprath1970,rainsk,2.08,0.1212,1.9796,6.12244898,6,2.7,0.15,NA
Cochrane1980,leonul,0,3.2,4.4,68.2,4.5,7,0.37,NA
Cochrane1980,leonul,0.5,NA,NA,61.1,NA,7,0.37,NA
Cochrane1980,leonul,1,NA,NA,56.7,NA,7,0.37,NA
Cochrane1980,leonul,2,NA,NA,44.1,NA,7,0.37,NA
Cochrane1980,leonul,4,NA,NA,28.5,NA,7,0.37,NA
Cochrane1980,leonox,0,3.11,3.44,86.4,NA,NA,0.71,NA
Cochrane1980,leonox,0.5,NA,NA,79.1,NA,NA,0.71,NA
Cochrane1980,leonox,1,NA,NA,67.9,NA,NA,0.71,NA
Cochrane1980,leonox,2,NA,NA,56.6,NA,NA,0.71,NA
Cochrane1980,leonox,4,NA,NA,26.5,NA,NA,0.71,NA
Goncalves2019,CXbd,0,1.133333333,1.299034008,87.24431587,4.154897967,2.606628126,NA,5.73140135
Goncalves2019,CXbd,1.7,0.15323228,2.482353938,6.1728619,5.439702,2.606628126,NA,5.73140135
Goncalves2019,CXbd,2.7,0.051134271,3.181273938,1.607352032,5.689422,2.606628126,NA,5.73140135
Goncalves2019,CXbd,2.7,0.051134271,3.181273938,1.607352032,5.689422,2.606628126,NA,5.73140135
Goncalves2019,CXbd,4.12,0,4.020133258,0,5.99522752,2.606628126,NA,5.73140135
Goncalves2019,CXbd,4.16,0,4.041152618,0,6.00301248,2.606628126,NA,5.73140135
Goncalves2019,CXbd,4.64,0,4.282227818,0,6.09288768,2.606628126,NA,5.73140135
Goncalves2019,CXbd,7.68,0,5.330711658,0,6.51014592,2.606628126,NA,5.73140135
Goncalves2019,LAd1,0,1.066666667,1.39659124,76.37643973,4.30216938,2.793712261,NA,5.339849146
Goncalves2019,LAd1,1.6,0.124397476,2.371372976,5.245799688,5.714944,2.793712261,NA,5.339849146
Goncalves2019,LAd1,2.34,0.051426001,2.868277056,1.792923053,5.94194492,2.793712261,NA,5.339849146
Goncalves2019,LAd1,2.9,0.026355366,3.205582976,0.822170758,6.099315,2.793712261,NA,5.339849146
Goncalves2019,LAd1,3.18,0,3.361723296,0,6.17334308,2.793712261,NA,5.339849146
Goncalves2019,LAd1,3.2,0,3.372556976,0,6.178512,2.793712261,NA,5.339849146
Goncalves2019,LAd1,3.7,0,3.629566976,0,6.302587,2.793712261,NA,5.339849146
Goncalves2019,LAd1,7.58,0,4.719862496,0,6.92891988,2.793712261,NA,5.339849146
Goncalves2019,LAd2,0,1,1.411390764,70.85210034,4.123818872,2.719628541,NA,6.982781527
Goncalves2019,LAd2,1.5,0.119913917,2.169390568,5.52753933,5.781125,2.719628541,NA,6.982781527
Goncalves2019,LAd2,2.54,0.048849589,2.780178408,1.757066683,5.9856098,2.719628541,NA,6.982781527
Goncalves2019,LAd2,2.78,0.040560169,2.911882728,1.392919033,6.0298802,2.719628541,NA,6.982781527
Goncalves2019,LAd2,3.08,0.03263953,3.071636928,1.062610282,6.0836792,2.719628541,NA,6.982781527
Goncalves2019,LAd2,4.4,0.016047818,3.710189568,0.43253363,6.30008,2.719628541,NA,6.982781527
Goncalves2019,LAd2,4.88,0.01,3.916384128,0.255337568,6.3705632,2.719628541,NA,6.982781527
Goncalves2019,LAd2,8.16,0.01,4.954163008,0.201850443,6.7350368,2.719628541,NA,6.982781527
Goncalves2019,Law,0,0.56,0.756649464,74.01049318,4.492014621,4.418639153,NA,6.953298928
Goncalves2019,Law,0.84,0.206681735,1.143024187,18.08200889,5.18694192,4.418639153,NA,6.953298928
Goncalves2019,Law,3.2,0.017273406,2.687568667,0.642714968,5.828928,4.418639153,NA,6.953298928
Goncalves2019,Law,3.28,0,2.733913947,0,5.84789888,4.418639153,NA,6.953298928
Goncalves2019,Law,3.54,0,2.881813387,0,5.90829012,4.418639153,NA,6.953298928
Goncalves2019,Law,4.4,0,3.341352667,0,6.094272,4.418639153,NA,6.953298928
Goncalves2019,Law,5.02,0,3.644386347,0,6.21523028,4.418639153,NA,6.953298928
Goncalves2019,Law,10.66,0,5.313578187,0,6.81067892,4.418639153,NA,6.953298928
Goncalves2019,LVAa,0,1.933333333,2.908778616,66.46546845,4.120400391,7.940134201,NA,14.03089057
Goncalves2019,LVAa,2.9,0.315740143,4.673147352,6.756477366,5.381611,7.940134201,NA,14.03089057
Goncalves2019,LVAa,5.6,0.08454801,6.420047352,1.316937489,5.693056,7.940134201,NA,14.03089057
Goncalves2019,LVAa,6.04,0.06821057,6.679858552,1.021137945,5.73980336,7.940134201,NA,14.03089057
Goncalves2019,LVAa,6.9,0.044831882,7.167547352,0.625484284,5.827931,7.940134201,NA,14.03089057
Goncalves2019,LVAa,9.78,0.010995428,8.606856152,0.127751966,6.09181964,7.940134201,NA,14.03089057
Goncalves2019,LVAa,11.6,0.01,9.362447352,0.106809679,6.233776,7.940134201,NA,14.03089057
Goncalves2019,LVAa,23.86,0.01,11.34513455,0.088143512,6.68943116,7.940134201,NA,14.03089057
Goncalves2019,LVAd1,0,0.36,1.329839884,27.07092819,4.842370018,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,0.54,0.221524767,1.404620742,15.7711445,5.05931892,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,1.74,0.07123008,2.271198342,3.136233347,5.34532212,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,2.4,0.022937862,2.716021182,0.844539151,5.488752,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,3.78,0.000667685,3.573191622,0.01868596,5.75683908,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,5.1,0,4.300786182,0,5.972997,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,6.36,0,4.911112542,0,6.14259552,6.27955436,NA,9.499679767
Goncalves2019,LVAd1,11.6,0,6.567141182,0,6.463032,6.27955436,NA,9.499679767
Goncalves2019,LVAd2,0,0.866666667,1.87805743,46.14697361,4.546285065,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,1.3,0.307357391,2.306251235,13.32714263,5.360594,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,2.78,0.116618417,3.230108675,3.610355835,5.59266984,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,2.94,0.105018782,3.328436995,3.15519814,5.61581736,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,3.78,0.060588628,3.839704675,1.5779502,5.73112584,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,3.8,0.059800332,3.851776235,1.552539096,5.733744,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,4.88,0.029483395,4.496631275,0.655677392,5.86633344,3.024964251,NA,7.582781527
Goncalves2019,LVAd2,7.04,0,5.745050795,0,6.07972416,3.024964251,NA,7.582781527
Goncalves2019,LVAd3,0,0.533333333,1.153515945,46.23545391,4.902843648,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,0.8,0.134130702,1.423445638,9.422959207,5.79128,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,1.52,0.048015252,1.960516678,2.449112143,5.9750384,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,1.8,0.032201554,2.163105638,1.488672277,6.05868,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,2.4,0.013679997,2.585397638,0.529125464,6.26088,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,2.42,0,2.599196278,0,6.2681594,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,2.68,0,2.776947878,0,6.3659584,1.37560444,NA,4.280365224
Goncalves2019,LVAd3,2.9,0,2.924987638,0,6.453305,1.37560444,NA,4.280365224
Goncalves2019,LVAd4,0,1.973333333,2.042657139,96.60619472,4.198619011,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,2.96,0.391750299,4.349675963,9.006424889,5.65941696,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,5.58,0.10259166,6.187438283,1.658063569,5.88781284,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,6.4,0.067451488,6.687582523,1.008607935,5.953936,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,6.7,0.057857821,6.861624523,0.843208792,5.977489,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,7.22,0,7.151955083,0,6.01750404,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,8.4,0,7.757422523,0,6.104496,5.745425033,NA,11.29864761
Goncalves2019,LVAd4,16.54,0,9.916117963,0,6.56044996,5.745425033,NA,11.29864761
Goncalves2019,LVAd5,0,0.893333333,1.244811433,71.7645508,4.45982326,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,1.34,0.168950362,2.126620479,7.944546943,5.44510016,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,3.64,0.01,3.727149079,0.268301584,5.89803456,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,4.14,0.01,4.027350079,0.248302229,5.98753856,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,4.42,0.01,4.188015199,0.238776593,6.03626304,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,6.7,0.01,5.297253439,0.188777073,6.395664,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,6.86,0.01,5.361782079,0.186505155,6.41838656,6.178006779,NA,9.5429562
Goncalves2019,LVAd5,15.22,0.01,6.304555999,0.158615452,7.14978624,6.178006779,NA,9.5429562
Goncalves2019,LVAd6,0,0.72,1.953717083,36.85282818,5.203273911,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,1.08,0.210314342,2.516002148,8.359068467,5.187172,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,1.2,0.188006264,2.579866148,7.287442556,5.21908,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,1.52,0.139416698,2.750170148,5.069384472,5.304168,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,1.8,0.107322174,2.899186148,3.701803477,5.37862,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,1.96,0.092418879,2.984338148,3.096796499,5.421164,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,2.66,0.048050439,3.356878148,1.431402548,5.607294,2.642180363,NA,4.867434167
Goncalves2019,LVAd6,3.36,0.048050439,3.729418148,1.288416516,5.793424,2.642180363,NA,4.867434167
Goncalves2019,LVd1,0,0.44,1.041217414,42.25822522,5.257402456,4.162857681,NA,5.002434829
Goncalves2019,LVd1,0.66,0.140436147,1.173413219,11.96817498,5.36322048,4.162857681,NA,5.002434829
Goncalves2019,LVd1,1.9,0.047524289,2.062805699,2.303866455,5.434828,4.162857681,NA,5.002434829
Goncalves2019,LVd1,2.42,0.030170509,2.386996579,1.263952746,5.49762112,4.162857681,NA,5.002434829
Goncalves2019,LVd1,2.9,0.019834858,2.660665699,0.745484803,5.572768,4.162857681,NA,5.002434829
Goncalves2019,LVd1,3.2,0.01,2.819236699,0.354705939,5.628112,4.162857681,NA,5.002434829
Goncalves2019,LVd1,3.24,0.01,2.839654619,0.352155503,5.63597808,4.162857681,NA,5.002434829
Goncalves2019,LVd1,4.96,0.01,3.556275419,0.281193069,6.08259328,4.162857681,NA,5.002434829
Goncalves2019,LVd2,0,0.213333333,2.268000529,9.406229433,5.002784432,5.457068248,NA,9.949334392
Goncalves2019,LVd2,0.2,0.073704705,3.242450749,2.273117174,5.557928,5.457068248,NA,9.949334392
Goncalves2019,LVd2,0.32,0.070167878,3.319938589,2.11352941,5.55724928,5.457068248,NA,9.949334392
Goncalves2019,LVd2,0.78,0.058112607,3.610732189,1.609441087,5.55856948,5.457068248,NA,9.949334392
Goncalves2019,LVd2,2.92,0.024177214,4.833356989,0.50021578,5.64650208,5.457068248,NA,9.949334392
Goncalves2019,LVd2,4.4,0.013182717,5.553542749,0.237374904,5.786072,5.457068248,NA,9.949334392
Goncalves2019,LVd2,5.88,0.01,6.171217789,0.162042572,5.99003968,5.457068248,NA,9.949334392
Goncalves2019,LVd2,8.7,0.01,7.064390749,0.141555024,6.556933,5.457068248,NA,9.949334392
Goncalves2019,LVd3,0,1.64,2.358978431,69.52161914,4.32748784,7.680447263,NA,10.67795686
Goncalves2019,LVd3,2.46,0.510741205,4.063999017,12.56745396,5.20946344,7.680447263,NA,10.67795686
Goncalves2019,LVd3,4.62,0.194903198,5.299881897,3.677500777,5.59971496,7.680447263,NA,10.67795686
Goncalves2019,LVd3,4.8,0.179867958,5.396385657,3.333119042,5.629456,7.680447263,NA,10.67795686
Goncalves2019,LVd3,5.74,0.118271522,5.884136617,2.010006389,5.77782184,7.680447263,NA,10.67795686
Goncalves2019,LVd3,6.7,0.077078395,6.354175657,1.213035312,5.917306,7.680447263,NA,10.67795686
Goncalves2019,LVd3,7.44,0.02,6.697124217,0.298635643,6.01652224,7.680447263,NA,10.67795686
Goncalves2019,LVd3,20.54,0.02,9.976159017,0.200477959,6.57631144,7.680447263,NA,10.67795686
Goncalves2019,LVd4,0,1.186666667,3.017541352,39.32561407,4.689378345,6.205205064,NA,11.10174937
Goncalves2019,LVd4,1.78,0.225440208,3.848556003,5.85778686,5.722094,6.205205064,NA,11.10174937
Goncalves2019,LVd4,2.08,0.185806344,4.035757203,4.604002041,5.752784,6.205205064,NA,11.10174937
Goncalves2019,LVd4,3.24,0.08797784,4.719632883,1.864082285,5.871452,6.205205064,NA,11.10174937
Goncalves2019,LVd4,3.72,0.06456839,4.984038003,1.295503562,5.920556,6.205205064,NA,11.10174937
Goncalves2019,LVd4,6.7,0.009460403,6.382218243,0.148230639,6.22541,6.205205064,NA,11.10174937
Goncalves2019,LVd4,6.92,0,6.468825203,0,6.247916,6.205205064,NA,11.10174937
Goncalves2019,LVd4,13.04,0,7.962374483,0,6.873992,6.205205064,NA,11.10174937
Goncalves2019,LVd5,0,1.306666667,1.551419876,84.22392205,4.237996272,6.328444812,NA,7.689506418
Goncalves2019,LVd5,1.96,0.252926457,2.816689814,8.979563738,5.71519504,6.328444812,NA,7.689506418
Goncalves2019,LVd5,3.6,0.087447163,3.824043414,2.286772242,5.987704,6.328444812,NA,7.689506418
Goncalves2019,LVd5,4.26,0.057032356,4.197563814,1.358701355,6.08887144,6.328444812,NA,7.689506418
Goncalves2019,LVd5,4.78,0.040726002,4.478967014,0.909272207,6.16514296,6.328444812,NA,7.689506418
Goncalves2019,LVd5,5.54,0.01,4.869819814,0.205346407,6.27116904,6.328444812,NA,7.689506418
Goncalves2019,LVd5,7.6,0.01,5.807243414,0.17219874,6.526024,6.328444812,NA,7.689506418
Goncalves2019,LVd5,17.82,0.01,7.822423014,0.127837628,7.08759256,6.328444812,NA,7.689506418
Goncalves2019,LVd6,0,0.626666667,0.803832209,77.95988516,4.60008401,1.751142892,NA,4.234331084
Goncalves2019,LVd6,0.94,0.074384902,1.312705686,5.666533112,5.751444,1.751142892,NA,4.234331084
Goncalves2019,LVd6,1.4,0.036424477,1.565123326,2.327259231,5.91364,1.751142892,NA,4.234331084
Goncalves2019,LVd6,1.94,0,1.847993686,0,6.104044,1.751142892,NA,4.234331084
Goncalves2019,LVd6,2.46,0,2.106662486,0,6.287396,1.751142892,NA,4.234331084
Goncalves2019,LVd6,2.6,0,2.174003326,0,6.33676,1.751142892,NA,4.234331084
Goncalves2019,LVd6,2.98,0,2.351865366,0,6.470748,1.751142892,NA,4.234331084
Goncalves2019,LVd6,3.92,0,2.760943966,0,6.802192,1.751142892,NA,4.234331084
Goncalves2019,LVw,0,0.746666667,0.842281329,88.64813232,4.325014569,3.875177435,NA,6.111229324
Goncalves2019,LVw,1.12,0.203192799,1.548045019,13.1257681,5.2361344,3.875177435,NA,6.111229324
Goncalves2019,LVw,2.2,0.062443071,2.286574939,2.730856094,5.58856,3.875177435,NA,6.111229324
Goncalves2019,LVw,2.96,0.027220089,2.754820059,0.988089557,5.8134896,3.875177435,NA,6.111229324
Goncalves2019,LVw,3.32,0.018368831,2.961782619,0.620195122,5.9133824,3.875177435,NA,6.111229324
Goncalves2019,LVw,3.6,0.013527914,3.116158939,0.434121449,5.98812,3.875177435,NA,6.111229324
Goncalves2019,LVw,4.46,0.062443071,3.554236059,1.756863361,6.2014946,3.875177435,NA,6.111229324
Goncalves2019,LVw,10.36,0.062443071,5.091917659,1.226317377,7.0072576,3.875177435,NA,6.111229324
Goncalves2019,PVAd1,0,0.453333333,1.901447664,23.84148361,4.986792399,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,0.68,0.049879317,2.025926895,2.462049192,5.77476064,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,1.18,0.023353723,2.303414895,1.013873933,5.95388364,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,1.9,0.007830391,2.691227055,0.290959873,6.199611,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,1.9,0.007830391,2.691227055,0.290959873,6.199611,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,3.8,0,3.647915055,0,6.778864,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,3.88,0,3.686074095,0,6.80105184,3.686373455,NA,6.696228662
Goncalves2019,PVAd1,6,0,4.634791055,0,7.3242,3.686373455,NA,6.696228662
Goncalves2019,PVAd2,0,0.213333333,1.492396454,14.29468241,5.254684786,4.687931392,NA,7.718126241
Goncalves2019,PVAd2,0.32,0.042767877,3.315449237,1.28995722,5.392752,4.687931392,NA,7.718126241
Goncalves2019,PVAd2,0.92,0.017651968,3.668616437,0.481161449,5.510412,4.687931392,NA,7.718126241
