source,soil_id,lr_meq,lr_kg,al_sat,ph
Kamprath1970,norfol,0.455,NA,52,4.9
Kamprath1970,norfol,0.91,NA,27,5.4
Kamprath1970,norfol,1.365,NA,13,5.6
Kamprath1970,norfol,1.82,NA,6,5.9
Kamprath1970,rainsk,0.52,NA,50,5.1
Kamprath1970,rainsk,1.04,NA,26,5.4
Kamprath1970,rainsk,1.56,NA,10,5.7
Kamprath1970,rainsk,2.08,NA,6,6
Kamprath1970,dunbar,1.165,NA,48,4.9
Kamprath1970,dunbar,2.33,NA,23,5.3
Kamprath1970,dunbar,3.495,NA,5,5.7
Kamprath1970,dunbar,4.66,NA,3,6
Kamprath1970,porsmo,2.09,NA,33,5
Kamprath1970,porsmo,4.18,NA,16,5.2
Kamprath1970,porsmo,6.27,NA,5,5.6
Kamprath1970,porsmo,8.36,NA,2,5.7
Cochrane1980,leonul,0.5,NA,61.1,NA
Cochrane1980,leonul,1,NA,56.7,NA
Cochrane1980,leonul,2,NA,44.1,NA
Cochrane1980,leonul,4,NA,28.5,NA
Cochrane1980,leonox,0.5,NA,79.1,NA
Cochrane1980,leonox,1,NA,67.9,NA
Cochrane1980,leonox,2,NA,56.6,NA
Cochrane1980,leonox,4,NA,26.5,NA
Cochrane1980,salina,NA,500,60,NA
Cochrane1980,salina,NA,1500,41,NA
Cochrane1980,salina,NA,4000,22,NA
Cochrane1980,salina,NA,500,62,NA
Cochrane1980,salina,NA,1500,38,NA
Cochrane1980,salina,NA,4000,4,NA
Cochrane1980,salina,NA,500,64,NA
Cochrane1980,salina,NA,1500,40,NA
Cochrane1980,salina,NA,4000,5,NA
Cochrane1980,vanrai,NA,1940,20,NA
Cochrane1980,vanrai,NA,3880,7,NA
Cochrane1980,vanrai,NA,5820,0,NA
Cochrane1980,vanrai,NA,1000,39,NA
Cochrane1980,gonzal,NA,2000,19,NA
Cochrane1980,gonzal,NA,4000,4,NA
Cochrane1980,gonzal,NA,8000,0,NA
